ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688981.SH,20240105,51.75,52.48,50.19,50.58,51.88,-1.3,-2.5058,194368.93,998406.765
688981.SH,20240108,50.59,50.81,48.6,49.5,50.58,-1.08,-2.1352,224987.64,1110310.363
688981.SH,20240109,49.48,49.67,47.9,48.45,49.5,-1.05,-2.1212,204945.92,997731.837
688981.SH,20240110,48.25,48.55,47.41,47.47,48.45,-0.98,-2.0227,149635.33,714549.962
688981.SH,20240111,47.28,48.22,47.15,47.6,47.47,0.13,0.2739,178597.17,849780.614
688981.SH,20240112,47.5,47.55,45.79,45.83,47.6,-1.77,-3.7185,229001.35,1064018.744
688981.SH,20240115,45.8,46.56,45.24,45.67,45.83,-0.16,-0.3491,159438.22,732805.094
688981.SH,20240116,45.59,46.08,44.9,45.99,45.67,0.32,0.7007,173025.75,787262.836
688981.SH,20240117,45.95,45.95,44.69,44.69,45.99,-1.3,-2.8267,132214.18,597545.961
688981.SH,20240118,44.69,45.68,43.38,45.64,44.69,0.95,2.1258,276795.78,1227658.372
688981.SH,20240119,45.5,46.38,45.2,45.86,45.64,0.22,0.482,196674.25,901687.807
688981.SH,20240122,45.67,46.23,44.5,44.83,45.86,-1.03,-2.246,260600.03,1187192.765
688981.SH,20240123,44.83,45.69,44.53,44.72,44.83,-0.11,-0.2454,203391.56,915329.858
688981.SH,20240124,44.94,45.58,43.73,45.37,44.72,0.65,1.4535,208729.35,930621.54
688981.SH,20240125,45.45,47.41,45.07,47.26,45.37,1.89,4.1657,255771.49,1187793.509
688981.SH,20240126,46.9,47.18,46.23,46.5,47.26,-0.76,-1.6081,180095.79,842394.635
688981.SH,20240129,46.5,47.18,44.97,45.35,46.5,-1.15,-2.4731,168194.54,769790.276
688981.SH,20240130,44.99,45.25,43.03,43.08,45.35,-2.27,-5.0055,236310.83,1036409.5
688981.SH,20240131,43.0,44.19,41.85,43.29,43.08,0.21,0.4875,264880.8,1138964.849
688981.SH,20240201,42.8,44.1,41.77,42.68,43.29,-0.61,-1.4091,219480.19,944854.159
688981.SH,20240202,42.78,43.25,40.68,42.13,42.68,-0.55,-1.2887,252096.49,1061214.849
688981.SH,20240205,42.26,43.55,40.32,42.97,42.13,0.84,1.9938,285353.49,1202298.077
688981.SH,20240206,42.71,45.0,42.06,44.97,42.97,2.0,4.6544,292766.67,1286311.624
688981.SH,20240207,44.66,44.67,42.75,42.9,44.97,-2.07,-4.6031,442121.73,1925685.26
688981.SH,20240208,43.11,44.3,43.03,44.0,42.9,1.1,2.5641,309154.6,1353733.987
688981.SH,20240219,44.6,45.07,44.11,44.82,44.0,0.82,1.8636,285691.19,1274866.151
688981.SH,20240220,44.55,45.03,43.9,44.45,44.82,-0.37,-0.8255,186966.25,830698.817
688981.SH,20240221,44.26,45.8,44.15,44.99,44.45,0.54,1.2148,249731.79,1125352.27
688981.SH,20240222,44.95,45.71,44.61,45.14,44.99,0.15,0.3334,244719.27,1102980.264
688981.SH,20240223,45.26,45.44,44.6,44.98,45.14,-0.16,-0.3545,229296.3,1030559.983
688981.SH,20240226,44.65,45.55,44.34,44.92,44.98,-0.06,-0.1334,271582.47,1219389.458
688981.SH,20240227,44.82,47.58,44.55,47.32,44.92,2.4,5.3428,505759.34,2341707.696
688981.SH,20240228,47.0,47.92,45.5,45.56,47.32,-1.76,-3.7194,451760.27,2119465.291
688981.SH,20240229,45.4,49.11,45.3,48.35,45.56,2.79,6.1238,569612.22,2720709.758
688981.SH,20240301,48.05,48.75,47.7,48.51,48.35,0.16,0.3309,395754.68,1909634.953
688981.SH,20240304,48.5,48.7,47.67,48.0,48.51,-0.51,-1.0513,270261.07,1301182.39
688981.SH,20240305,47.76,48.4,47.59,48.0,48.0,0.0,0.0,285279.01,1365886.776
688981.SH,20240306,48.0,48.05,47.01,47.59,48.0,-0.41,-0.8542,203828.27,969336.57
688981.SH,20240307,47.65,48.45,46.8,47.09,47.59,-0.5,-1.0506,238630.63,1136078.794
688981.SH,20240308,47.11,47.76,46.6,47.4,47.09,0.31,0.6583,189472.43,895629.931
688981.SH,20240311,46.86,48.23,46.5,47.99,47.4,0.59,1.2447,267494.25,1266403.682
688981.SH,20240312,47.86,48.5,47.68,47.88,47.99,-0.11,-0.2292,210031.83,1008523.237
688981.SH,20240313,47.97,48.88,47.6,47.85,47.88,-0.03,-0.0627,243073.82,1172291.362
688981.SH,20240314,47.51,47.81,46.62,46.7,47.85,-1.15,-2.4033,204171.64,961432.779
688981.SH,20240315,46.6,46.84,46.0,46.67,46.7,-0.03,-0.0642,161959.57,751034.883
688981.SH,20240318,46.87,48.44,46.7,47.97,46.67,1.3,2.7855,298342.87,1419257.651
688981.SH,20240319,47.8,47.99,47.2,47.21,47.97,-0.76,-1.5843,172451.75,820456.004
688981.SH,20240320,47.49,48.15,47.25,47.54,47.21,0.33,0.699,153499.73,731912.759
688981.SH,20240321,47.54,48.1,47.1,47.55,47.54,0.01,0.021,195076.22,929590.455
688981.SH,20240322,47.3,47.51,45.58,45.6,47.55,-1.95,-4.1009,292865.13,1357453.26
688981.SH,20240325,45.59,45.66,44.56,44.56,45.6,-1.04,-2.2807,214481.61,965562.414
